ACTION,GOTO
ClosureId,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,Expressions1q,Identifier,dig,else,idt,if,int,return,void,while,{,},#,ActualParameterList,ActualParameters,AdditiveExpression,AssignmentStatement,Expression,Expressions,FTYPE,Factor,FormalParameters,FunctionCall,IfStatement,InternalDeclaration,InternalVariableDeclaration,OperatorFactor,OperatorTerm,Parameter,ParameterList,Parameters,Program,RelopAdditiveExpression,ReturnStatement,Start,Statement,StatementBlock,StatementSequence,Term,Type,WhileStatement,relop
161,r54,,r54,r54,r54,,r54,r54,,r54,r54,,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,r41,,r41,,r41,,r41,,,r41,r41,,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,r42,,r42,,r42,,r42,,,r42,r42,,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,r50,,,r50,r50,r50,r50,r50,,r50,r50,,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,s103,,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,,,184,,,,,109,,,,,,,,,,,,,,,,,,111,,,
166,r29,,,,,r29,,,,r29,r29,,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,r59,,,,,,,,,,,,,s185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,s186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,r45,,,r45,r45,r45,r45,r45,,r45,r45,,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,r46,,,r46,r46,r46,r46,r46,,r46,r46,,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,s103,,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,
172,,s103,,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,
173,r55,,,r55,r55,r55,r55,r55,,r55,r55,,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,s189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,r39,,,,r39,r39,r39,,,r39,r39,,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,r40,,,,r40,r40,r40,,,r40,r40,,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,s103,,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,190,,,
178,,s103,,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,191,,,
